title,address,type,educational,workExperience,workTag,salary,salaryMonth,companyTags,hrWork,hrName,pratice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
编程 c++ python,深圳,python,本科,在校/应届,"[""C++"", ""Java"", ""Python""]","[8000, 12000]",0薪,"[""\u5e74\u7ec8\u5956"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5168\u52e4\u5956"", ""\u5458\u5de5\u65c5\u6e38"", ""\u8282\u65e5\u798f\u5229"", ""\u5e26\u85aa\u5e74\u5047""]",老师,余女士,0,网企科技,"https://img.bosszhipin.com/beijin/upload/com/logo/20190517/7b2a6f03f1f448eac56600420d4fad3253efe99c16328e694c72719415d86e1f.png?x-oss-process=image/resize,w_100,limit_0",培训/辅导机构,C轮,"[100, 499]",https://www.zhipin.com/job_detail/ca173fe14ba361981nZz2di-GFFX.html?lid=2EsAaqiHuBu.search.4&securityId=FlsTA5VCf20gh-g1CZbFySvun39nyAj587RUpe5wLgdWa3SNQ_JJ50O_iCHWgFy2EPZWMrrBX0eDZ2jiVhZLkDUeQvznPHDPeJVMu66PPvTlcJOvwQ~~&sessionId=,https://www.zhipin.com/gongsi/6cf359dab73e5df31HV52Nm7Ew~~.html,南山区
Python 工程师,郑州,python,本科,3-5年,"[""\u6570\u636e\u5f00\u53d1"", ""Python"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a""]","[6000, 11000]",13薪,"[""\u9910\u8865"", ""\u4ea4\u901a\u8865\u52a9"", ""\u5e26\u85aa\u5e74\u5047"", ""\u5168\u52e4\u5956"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u5e74\u7ec8\u5956"", ""\u5458\u5de5\u65c5\u6e38""]",HR,王女士,0,讯鸟科技,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20210624/2659e671e22b07a91f76c49b7f023a13b5341b09d3821b3cd1c88684b2bfaf4f.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/15b994224b4c0b061XB639q-F1pT.html?lid=2EsAaqiHuBu.search.5&securityId=Uy1Uq9gGO9pxQ-m1nXRv8-NytVa4Bdi8nRAbM8AbymUJn6iybCnDCxdIcvX00edr5J73bbXzg9Q99IBfEeizLvw3pGZ60gPX3pOdkILX3rEhE4uNcvk~&sessionId=,https://www.zhipin.com/gongsi/ff78ddaa17c4c9141nN-0964FlU~.html,中原区
Python 开发工程师,长沙,python,本科,经验不限,"[""\u540e\u7aef"", ""Python""]","[15000, 30000]",14薪,"[""\u52a0\u73ed\u8865\u52a9"", ""\u4e94\u9669\u4e00\u91d1"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u80a1\u7968\u671f\u6743"", ""\u9910\u8865"", ""\u8282\u65e5\u798f\u5229"", ""\u5e74\u7ec8\u5956"", ""\u5458\u5de5\u65c5\u6e38"", ""\u5b9a\u671f\u4f53\u68c0""]",HR,左先生,0,华为,"https://img.bosszhipin.com/beijin/upload/com/logo/20200429/8f64c9d0b30a53c434b26799ca78966cec9b49ecaf1604cb263748f03d5c2b0f.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/1ba5ccb9535a8bef1XB80t20EVNX.html?lid=2EsAaqiHuBu.search.6&securityId=fA1NblSTYAR4A-T1M1VaSWDjlvFZzmdw_kHcYpivtvIX10sfI1Od02wZ3b2hJagEfEPpFJ-7b8N7baxcEMAMfLke50QKZNmKwq3b1KhnObc3gs8~&sessionId=,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html,岳麓区
python 中级研发,北京,python,本科,经验不限,"[""Python"", ""Flask"", ""Django"", ""MySQL"", ""Linux\u5f00\u53d1/\u90e8\u7f72\u7ecf\u9a8c""]","[15000, 25000]",0薪,"[""\u56e2\u5efa\u805a\u9910"", ""\u7ee9\u6548\u5956\u91d1"", ""\u4e94\u9669\u4e00\u91d1"", ""\u5e26\u85aa\u5e74\u5047"", ""\u9910\u8865"", ""\u5e95\u85aa\u52a0\u63d0\u6210"", ""\u5e74\u7ec8\u5956"", ""\u80a1\u7968\u671f\u6743""]",招聘主管,李先生,0,雾旗科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",信息安全,天使轮,"[0, 20]",https://www.zhipin.com/job_detail/8097c85c828db8741HF73tS5ElpQ.html?lid=2EsAaqiHuBu.search.7&securityId=hZHmaJJEDXva5-R1yFUsDeyO8LlSSnkgd-VMbxtM8gNDUWJtboIzzYhBkw4ZROoc2Y_0CERzNTwPOF4_XMQe3ij9Cn6yMILRZkGUQCN-uVnQM8uzjye0Mh8oJuTTXdR2sE73KDLkNG1sc7Zpa4CmkSw~&sessionId=,https://www.zhipin.com/gongsi/d76fd072776d1fa71HB52N2-FlY~.html,海淀区
python 教师,株洲,python,大专,经验不限,"[""\u4eba\u5de5\u667a\u80fd"", ""\u52a8\u753b\u52a8\u6f2b"", ""\u673a\u5668\u4eba""]","[5000, 8000]",0薪,"[""\u80a1\u7968\u671f\u6743"", ""\u4f4f\u623f\u8865\u8d34"", ""\u5e26\u85aa\u5e74\u5047"", ""\u5e74\u7ec8\u5956"", ""\u5458\u5de5\u65c5\u6e38"", ""\u52a0\u73ed\u8865\u52a9"", ""\u5168\u52e4\u5956"", ""\u8282\u65e5\u798f\u5229"", ""\u4e94\u9669\u4e00\u91d1""]",教学主管,丁女士,0,株洲昕芒,"https://img.bosszhipin.com/beijin/upload/com/logo/20190908/cae16aeb72edc47bf31702aaa7ba7924c691727ff0829634fe55e4ee398292f5.jpg?x-oss-process=image/resize,w_100,limit_0",培训/辅导机构,不需要融资,"[0, 20]",https://www.zhipin.com/job_detail/fbb915ea8f21cd4b1nZ93dm6FlRQ.html?lid=2EsAaqiHuBu.search.8&securityId=RFBSf5zdEvwKF--1qwg8eXmy2AAYQFP2sD8x5Hyv8gt-MCRoqx3obf2riX9xCSLYj9RFgapph9Ehop2JbveN9Z_tFZqC3LWn157uB0lD43LrAdayho0~&sessionId=,https://www.zhipin.com/gongsi/68e3db4bad8b900b0nN80tq6FQ~~.html,天元区
Python C++开发,淄博,python,本科,经验不限,"[""\u540e\u7aef"", ""Python"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a""]","[3000, 5000]",0薪,"[""\u5e26\u85aa\u5e74\u5047"", ""\u5e74\u7ec8\u5956"", ""\u4e94\u9669\u4e00\u91d1""]",consultant,于女士,0,里丰科技,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20230425/7bf6f160950405e983686a8e99ed853a7ac9a03750c744e52c27fb1d9b83e3f83345cc3ba7ab1eb7.jpg?x-oss-process=image/resize,w_100,limit_0",电力/热力/燃气/水利,未融资,"[20, 99]",https://www.zhipin.com/job_detail/0c8a1f8aeb623f4b1Xd93tS4GVRX.html?lid=2EsAaqiHuBu.search.9&securityId=QsnWExc3MKBoC-s12IbYsWoOF1pD5W-y7-zEACpFJ1ILX731rTn9mxr_wKgCLFb3Col_RZx2OGBl3s_fZyX66Jj80_l7dXowyiAHyXjRLH_HvoG4zw~~&sessionId=,https://www.zhipin.com/gongsi/567f1ccbcf02ea6a1XV62d21FVQ~.html,张店区
python 后端开发,武汉,python,学历不限,经验不限,"[""\u540e\u7aef"", ""Python""]","[10000, 15000]",0薪,"[""\u56e2\u5efa\u805a\u9910"", ""\u52a0\u73ed\u8865\u52a9"", ""\u610f\u5916\u9669"", ""\u4ea4\u901a\u8865\u52a9"", ""\u751f\u65e5\u798f\u5229"", ""\u7ed3\u5a5a\u751f\u5b50\u793c\u91d1"", ""\u5458\u5de5\u65c5\u6e38"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u4e94\u9669\u4e00\u91d1"", ""\u901a\u8baf\u8865\u8d34"", ""\u5168\u52e4\u5956"", ""\u80a1\u7968\u671f\u6743"", ""\u8d85\u957f\u5e74\u504715\u5929"", ""\u514d\u8d39\u6587\u5316\u886b"", ""\u5e74\u7ec8\u5956"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u5e26\u85aa\u5e74\u5047"", ""\u8282\u65e5\u798f\u5229""]",人力经理,李女士,0,极验,"https://img.bosszhipin.com/beijin/mcs/bar/20191216/88ad1ead57d84dc1876bc2c98022e2debe1bd4a3bd2a63f070bdbdada9aad826.jpg?x-oss-process=image/resize,w_100,limit_0",信息安全,B轮,"[100, 499]",https://www.zhipin.com/job_detail/5e1d7d9c4f72c9b71HR-3t--GVRW.html?lid=2EsAaqiHuBu.search.10&securityId=GisJOfHkSRmpY-P1rgqmdfjaqPtUBImO9mdxCcWBoQvKKhnICJxjBnGSfyLtSQUiMcr9t7xrfKSS8c_O3d4OyzXtL8I4cJXqmLc2rL8B7d5Fviio&sessionId=,https://www.zhipin.com/gongsi/726e816390f84c021XB_3dU~.html,硚口区
python 工程师,北京,python,本科,1-3年,"[""python""]","[8000, 13000]",0薪,无,HR,谢先生,0,MISSHOP,"https://img.bosszhipin.com/beijin/mcs/banner/20180310/0f2ef5140160425fd989d87ead17cc9d33d208e8d6fc287973c46e5cb5346f06.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/737749914db2c6221XV53ti9EVtT.html?lid=2EsAaqiHuBu.search.11&securityId=4W2OjSYy0QrN0-K1ZvX4jOOQCnu0ct6yzQMb2J4n0orqFxe53_K6dVzc4YkqrPUIyMhH4_0ey3kmqOILAAEWJ-UOw-jyllL6m4SJZc9wPtskMGwy4sXG&sessionId=,https://www.zhipin.com/gongsi/4812215901607f1b1nBy2Nu9GFM~.html,海淀区
Python 开发工程师,北京,python,本科,1-3年,"[""NoSQL"", ""\u5927\u6570\u636e"", ""\u641c\u7d22\u5f15\u64ce\u6280\u672f"", ""MySQL"", ""\u4eba\u5de5\u667a\u80fd""]","[12000, 20000]",0薪,"[""\u80a1\u7968\u671f\u6743"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u5e26\u85aa\u5e74\u5047"", ""\u8282\u65e5\u798f\u5229"", ""\u5458\u5de5\u65c5\u6e38"", ""\u5e74\u7ec8\u5956"", ""\u9910\u8865"", ""\u4e94\u9669\u4e00\u91d1"", ""\u96f6\u98df\u4e0b\u5348\u8336""]",招聘者,张先生,0,脉讯在线,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20170719/9c67567ab8765153bf7fd615be33a7d23e2e26ad281f92431571d608502abd79.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,A轮,"[20, 99]",https://www.zhipin.com/job_detail/10f3f7132a47e8421nVz3dq1GVNQ.html?lid=2EsAaqiHuBu.search.12&securityId=MumJ8pay3SEnF-f1nkon1tUW6oADz_WtnPf7RTF8fAcxieisoUjRDNT_QzPURz8x3m_Kknq0WvhUS-DJx71Tzyn-IfeKi1eMmywlx1S0S5iWfXadmw~~&sessionId=,https://www.zhipin.com/gongsi/5fea5775e8bdb28e33d629q1.html,海淀区
PYTHON 后端工程师,北京,python,本科,1-3年,"[""\u540e\u7aef"", ""Python"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a"", ""\u670d\u52a1\u7aef\u5f00\u53d1\u7ecf\u9a8c""]","[15000, 25000]",15薪,"[""\u5de5\u9f84\u5956"", ""\u4e94\u9669\u4e00\u91d1"", ""\u52a0\u73ed\u8865\u52a9"", ""\u8282\u5047\u65e5\u52a0\u73ed\u8d39"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u80a1\u7968\u671f\u6743"", ""\u610f\u5916\u9669"", ""\u6cd5\u5b9a\u8282\u5047\u65e5\u4e09\u85aa"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u4fdd\u5e95\u5de5\u8d44"", ""\u7ee9\u6548\u5956\u91d1"", ""\u591c\u73ed\u8865\u52a9"", ""\u5e74\u7ec8\u5956"", ""\u4f01\u4e1a\u5e74\u91d1"", ""\u5e95\u85aa\u52a0\u63d0\u6210"", ""\u5168\u52e4\u5956""]",产品经理,申先生,0,万能青年,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20230608/7bf6f160950405e928abfec66254fcdcfd527ae4bc56e67a3f9207f8f8e5cc7faba06be7843b2171.png?x-oss-process=image/resize,w_100,limit_0",游戏,天使轮,"[20, 99]",https://www.zhipin.com/job_detail/75503086dc8d43b71X162d--FlRQ.html?lid=2EsAaqiHuBu.search.13&securityId=rqCQ5DBHOkrSs-E12rUD72zVyidZhvf7GdlQwFD6evpkSi1OB_EwfbDYZv0yTmcEiYTXvlzf483CibPoV1EyaD6Rhm2tg1qQpEh4i6UdzGgG1V0cLvU7&sessionId=,https://www.zhipin.com/gongsi/f159383770868f681XNy2d-6FlI~.html,朝阳区
